"Step","model_class_str: fully_connected_dropout - valid_mse","model_class_str: fully_connected_dropout - valid_mse__MIN","model_class_str: fully_connected_dropout - valid_mse__MAX"
"50","0.09022444114089012","0.08986417949199677","0.09058470278978348"
"101","0.08939388394355774","0.08917742222547531","0.08961034566164017"
"152","0.08938748762011528","0.08911934494972229","0.08965563029050827"
"203","0.09012925252318382","0.08939628303050995","0.0908622220158577"
"254","0.08938049897551537","0.089370958507061","0.08939003944396973"
"305","0.0893079899251461","0.08920245617628098","0.08941352367401123"
"356","0.08914241567254066","0.08903872966766357","0.08924610167741776"
"407","0.0891493707895279","0.08894900977611542","0.08934973180294037"
"458","0.0895158126950264","0.08949390798807144","0.08953771740198135"
"509","0.08936585858464241","0.0888339951634407","0.08989772200584412"
"560","0.08947968482971191","0.08914677053689957","0.08981259912252426"
"611","0.08901600167155266","0.08890268951654434","0.08912931382656097"
"662","0.08911550045013428","0.08894487470388412","0.08928612619638443"
"713","0.08930465951561928","0.0887472927570343","0.08986202627420425"
"764","0.08899557963013649","0.08883561939001083","0.08915553987026215"
"815","0.08949436247348785","0.08934275060892105","0.08964597433805466"
"866","0.0894288681447506","0.08902348577976227","0.08983425050973892"
"917","0.08929773420095444","0.08916492760181427","0.0894305408000946"
"968","0.0893455408513546","0.08897961676120758","0.08971146494150162"
"1050","0.08893295004963875","0.08865991979837418","0.08920598030090332"
"1101","0.08899865299463272","0.08882055431604385","0.08917675167322159"
"1152","0.08935758471488953","0.08925163000822067","0.08946353942155838"
"1203","0.08922115713357925","0.089115671813488","0.0893266424536705"
"1254","0.08877533674240112","0.08846962451934814","0.0890810489654541"
"1305","0.08904466778039932","0.08883355557918549","0.08925577998161316"
"1356","0.08929823338985443","0.08877380937337875","0.08982265740633011"
"1407","0.08905935660004616","0.0888325572013855","0.08928615599870682"
"1458","0.0888151116669178","0.08863969147205353","0.08899053186178207"
"1509","0.08914236724376678","0.08899080008268356","0.08929393440485"
"1560","0.08876543119549751","0.08858954161405563","0.08894132077693939"
"1611","0.08870072662830353","0.08863501250743866","0.0887664407491684"
"1662","0.088657446205616","0.08830460160970688","0.08901029080152512"
"1713","0.0888298824429512","0.08860719203948975","0.08905257284641266"
"1764","0.08898070082068443","0.08864378184080124","0.08931761980056763"
"1815","0.08870973065495491","0.08852522820234299","0.08889423310756683"
"1866","0.08855770900845528","0.08844701200723648","0.08866840600967407"
"1917","0.08866869658231735","0.08854895830154419","0.08878843486309052"
"1968","0.08861253038048744","0.0885084941983223","0.08871656656265259"
"2050","0.08876495063304901","0.08842465281486511","0.08910524845123291"
"2101","0.0883711501955986","0.08812840282917023","0.08861389756202698"
"2152","0.08842097967863083","0.08801665902137756","0.0888253003358841"
"2203","0.08862515538930893","0.08830023556947708","0.08895007520914078"
"2254","0.08840008452534676","0.08817415684461594","0.08862601220607758"
"2305","0.08890489488840103","0.0885302871465683","0.08927950263023376"
"2356","0.08826899901032448","0.088093101978302","0.08844489604234695"
"2407","0.08824043720960617","0.08794441819190979","0.08853645622730255"
"2458","0.08841134235262871","0.08815083652734756","0.08867184817790985"
"2509","0.08844831585884094","0.0884246826171875","0.08847194910049438"
"2560","0.08841606229543686","0.08813837170600891","0.08869375288486481"
"2611","0.08819301053881645","0.08796753734350204","0.08841848373413086"
"2662","0.08822893723845482","0.08813726902008057","0.08832060545682907"
"2713","0.0883721150457859","0.0883140042424202","0.08843022584915161"
"2764","0.08845270425081253","0.08813314884901047","0.0887722596526146"
"2815","0.0883677639067173","0.08803219348192215","0.08870333433151245"
"2866","0.0883646123111248","0.08813103288412094","0.08859819173812866"
"2917","0.08807714655995369","0.08794130384922028","0.0882129892706871"
"2968","0.08834738656878471","0.08831021189689636","0.08838456124067307"
"3050","0.08819353953003883","0.08776835352182388","0.08861872553825378"
"3101","0.08810761943459511","0.08801574259996414","0.08819949626922607"
"3152","0.08835148438811302","0.08833999186754227","0.08836297690868378"
"3203","0.0883062370121479","0.0882524847984314","0.08835998922586441"
"3254","0.08803576976060867","0.08780788630247116","0.08826365321874619"
"3305","0.08819353953003883","0.0878177210688591","0.08856935799121857"
"3356","0.08851779624819756","0.0884532481431961","0.088582344353199"
"3407","0.08836226165294647","0.08829453587532043","0.08842998743057251"
"3458","0.08841574564576149","0.08836379647254944","0.08846769481897354"
"3509","0.088209118694067","0.08794484287500381","0.08847339451313019"
"3560","0.08838095888495445","0.08830596506595612","0.08845595270395279"
"3611","0.0883372314274311","0.0881495550274849","0.08852490782737732"
"3662","0.08832073584198952","0.08808114379644394","0.0885603278875351"
"3713","0.0884379893541336","0.08814242482185364","0.08873355388641357"
"3764","0.0881200022995472","0.08794178813695908","0.08829821646213531"
"3815","0.08814509958028793","0.08785684406757355","0.08843335509300232"
"3866","0.08822929859161377","0.08780242502689362","0.08865617215633392"
"3917","0.08803406730294228","0.08776392787694931","0.08830420672893524"
"3968","0.0881001427769661","0.08785630762577057","0.08834397792816162"