"Step","model_class_str: fully_connected - valid_mse","model_class_str: fully_connected - valid_mse__MIN","model_class_str: fully_connected - valid_mse__MAX"
"50","0.09012238681316376","0.08973954617977142","0.09050522744655609"
"101","0.09009937942028046","0.08984659612178802","0.09035216271877289"
"152","0.0898875966668129","0.08965179324150085","0.09012340009212494"
"203","0.09107616916298866","0.09024714678525925","0.09190519154071808"
"254","0.08993202447891235","0.08983004093170166","0.09003400802612305"
"305","0.09003463387489319","0.08989489078521729","0.09017437696456909"
"356","0.09005989134311676","0.0900331512093544","0.09008663147687912"
"407","0.08985582739114761","0.08962852507829666","0.09008312970399857"
"458","0.0897754393517971","0.08960653841495514","0.08994434028863907"
"509","0.08981772884726524","0.08971536159515381","0.08992009609937668"
"560","0.0900658369064331","0.0898655578494072","0.09026611596345901"
"611","0.08974775299429893","0.08955970406532288","0.089935801923275"
"662","0.09000277891755104","0.08968040347099304","0.09032515436410904"
"713","0.09015675261616707","0.08981115370988846","0.09050235152244568"
"764","0.08972952514886856","0.08948883414268494","0.08997021615505219"
"815","0.08980558812618256","0.08980215340852737","0.08980902284383774"
"866","0.0901300348341465","0.08973989635705948","0.09052017331123352"
"917","0.09013207256793976","0.08984008431434631","0.0904240608215332"
"968","0.08997094631195068","0.08991695940494537","0.090024933218956"
"1050","0.08986017480492592","0.0896184891462326","0.09010186046361923"
"1101","0.08967654779553413","0.08936399966478348","0.08998909592628479"
"1152","0.09021654352545738","0.09017601609230042","0.09025707095861435"
"1203","0.0899108275771141","0.08987386524677277","0.08994778990745544"
"1254","0.0896654948592186","0.08933816850185394","0.08999282121658325"
"1305","0.08972219377756119","0.08940663188695908","0.0900377556681633"
"1356","0.09003305062651634","0.08973720669746399","0.0903288945555687"
"1407","0.08989450708031654","0.08953159302473068","0.0902574211359024"
"1458","0.089934341609478","0.08953958749771118","0.09032909572124481"
"1509","0.08992083743214607","0.08964282274246216","0.09019885212182999"
"1560","0.08973808214068413","0.08946894854307175","0.09000721573829651"
"1611","0.08969997242093086","0.08942478150129318","0.08997516334056854"
"1662","0.08954786136746407","0.08932793140411377","0.08976779133081436"
"1713","0.08968864753842354","0.08954280614852905","0.08983448892831802"
"1764","0.08971652761101723","0.0895274206995964","0.08990563452243805"
"1815","0.08964810892939568","0.08948780596256256","0.08980841189622879"
"1866","0.08955922350287437","0.08933338522911072","0.08978506177663803"
"1917","0.0897895023226738","0.08948720246553421","0.09009180217981339"
"1968","0.08973638340830803","0.0895591452717781","0.08991362154483795"
"2050","0.08969488739967346","0.08952995389699936","0.08985982090234756"
"2101","0.08963308483362198","0.08938095718622208","0.08988521248102188"
"2152","0.08961202576756477","0.08934669941663742","0.08987735211849213"
"2203","0.0896553285419941","0.08943478018045425","0.08987587690353394"
"2254","0.08971346914768219","0.08949220925569534","0.08993472903966904"
"2305","0.08977794647216797","0.0897466391324997","0.08980925381183624"
"2356","0.08967112004756927","0.08945862948894501","0.08988361060619354"
"2407","0.08991514146327972","0.08962376415729523","0.09020651876926422"
"2458","0.08983756974339485","0.08964870870113373","0.09002643078565598"
"2509","0.0897718258202076","0.08948558568954468","0.09005806595087051"
"2560","0.08971516788005829","0.08953531831502914","0.08989501744508743"
"2611","0.08970142155885696","0.08948292583227158","0.08991991728544235"
"2662","0.08958863839507103","0.0893644466996193","0.08981283009052277"
"2713","0.08973877876996994","0.08937104046344757","0.09010651707649231"
"2764","0.08961847424507141","0.08931543678045273","0.0899215117096901"
"2815","0.08960246667265892","0.08928295224905014","0.0899219810962677"
"2866","0.08966358378529549","0.08947442471981049","0.08985274285078049"
"2917","0.08963751420378685","0.08937964588403702","0.08989538252353668"
"2968","0.08970483019948006","0.08936066925525665","0.09004899114370346"
"3050","0.08955302461981773","0.08927245438098907","0.08983359485864639"
"3101","0.08957276865839958","0.08935631066560745","0.08978922665119171"
"3152","0.08957478776574135","0.0893087163567543","0.0898408591747284"
"3203","0.08972194790840149","0.08954666554927826","0.08989723026752472"
"3254","0.08964978158473969","0.08937901258468628","0.08992055058479309"
"3305","0.0896923579275608","0.08943905681371689","0.08994565904140472"
"3356","0.08973851054906845","0.08966819941997528","0.08980882167816162"
"3407","0.08970349282026291","0.0894915834069252","0.08991540223360062"
"3458","0.0895935669541359","0.08929784595966339","0.0898892879486084"
"3509","0.08965350314974785","0.089455246925354","0.0898517593741417"
"3560","0.08982817083597183","0.08972004801034927","0.08993629366159439"
"3611","0.08962931111454964","0.08933799713850021","0.08992062509059906"
"3662","0.08963970094919205","0.08937731385231018","0.08990208804607391"
"3713","0.09010576084256172","0.08983679115772247","0.09037473052740097"
"3764","0.08963106945157051","0.08938902616500854","0.08987311273813248"
"3815","0.08966441079974174","0.08949315547943115","0.08983566612005234"
"3866","0.089673712849617","0.0895562469959259","0.0897911787033081"
"3917","0.0898888111114502","0.08973676711320877","0.09004085510969162"
"3968","0.0896863304078579","0.08942714333534241","0.08994551748037338"